id;ship_date;estimated_arrival_date;delivery_status;tracking_number;shipping_company
1;Mouse withdrawal;calculate Investment Account synthesize;RETURNED;Quality Plastic plum;Home Loan Account Stravenue Applications
2;Secured;Generic Granite;DELIVERED;user-facing CSS;ADP Ouguiya
3;Chair scalable;Movies indexing Optimization;ISSUED;mobile bleeding-edge Functionality;grey Alabama
4;human-resource Shoes Wooden;calculate value-added Metal;RETURNED;Estate coherent;Licensed Frozen Mouse
5;mobile Wisconsin;Money Market Account;RETURNED;bypass;Gorgeous Streamlined matrix
6;synthesize Quality-focused;hack Valley viral;DELIVERED;Prairie;El Salvador Colon US Dollar Bedfordshire explicit
7;Games solid state Buckinghamshire;primary Orchestrator programming;CANCELLED;Montserrat;Rustic Buckinghamshire
8;Bacon;Alaska payment;IN_PERSON;National Pizza;Table Lithuania
9;payment copy value-added;International;CANCELLED;Tanzanian Shilling;well-modulated Human Bulgaria
10;Turkmenistan multi-byte;bluetooth;CANCELLED;Beauty efficient;Multi-lateral
